Statistic Label,Year,Nationality of Ownership,VALUE
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,All nationalities of ownership,205704
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,Irish ownership,24974
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,Non Irish ownership,180730
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,All nationalities of ownership,221726
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,Irish ownership,31491
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,Non Irish ownership,190235
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,All nationalities of ownership,92693
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,Irish ownership,19651
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,Non Irish ownership,73042
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,All nationalities of ownership,74941
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,Irish ownership,18571
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,Non Irish ownership,56370
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,All nationalities of ownership,83454
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,Irish ownership,23291
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,Non Irish ownership,60163
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,All nationalities of ownership,120411
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,Irish ownership,23631
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,Non Irish ownership,96779
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,All nationalities of ownership,175239
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,Irish ownership,24690
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,Non Irish ownership,150550
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,All nationalities of ownership,176930
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,Irish ownership,59442
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,Non Irish ownership,117488
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,Non Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,All nationalities of ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,Irish ownership,
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,All nationalities of ownership,27640
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Irish ownership,22192
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Non Irish ownership,5448
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,All nationalities of ownership,12321
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Irish ownership,3640
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Non Irish ownership,8681
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,All nationalities of ownership,15794
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Irish ownership,10145
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Non Irish ownership,5650
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,All nationalities of ownership,12738
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Irish ownership,7691
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Non Irish ownership,5048
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,All nationalities of ownership,19335
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Irish ownership,11907
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Non Irish ownership,7428
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,All nationalities of ownership,17188
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Irish ownership,11971
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Non Irish ownership,5216
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,All nationalities of ownership,16675
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Irish ownership,7586
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Non Irish ownership,9089
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Non Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,All nationalities of ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Irish ownership,
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,All nationalities of ownership,2666
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,Irish ownership,2412
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,Non Irish ownership,254
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,All nationalities of ownership,6610
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,Irish ownership,2401
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,Non Irish ownership,4208
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,All nationalities of ownership,16899
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,Irish ownership,13781
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,Non Irish ownership,3118
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,All nationalities of ownership,19106
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,Irish ownership,14716
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,Non Irish ownership,4389
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,All nationalities of ownership,30123
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,Irish ownership,26365
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,Non Irish ownership,3759
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,All nationalities of ownership,205199
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,Irish ownership,192071
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,Non Irish ownership,13128
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,All nationalities of ownership,155197
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,Irish ownership,105252
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,Non Irish ownership,49945
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,Non Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,All nationalities of ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,Irish ownership,
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,Non Irish ownership,
Actual Total Capital Expenditure,2007,All nationalities of ownership,279271
Actual Total Capital Expenditure,2007,Irish ownership,32384
Actual Total Capital Expenditure,2007,Non Irish ownership,246887
Actual Total Capital Expenditure,2008,All nationalities of ownership,
Actual Total Capital Expenditure,2008,Irish ownership,
Actual Total Capital Expenditure,2008,Non Irish ownership,
Actual Total Capital Expenditure,2009,All nationalities of ownership,325613
Actual Total Capital Expenditure,2009,Irish ownership,91040
Actual Total Capital Expenditure,2009,Non Irish ownership,234573
Actual Total Capital Expenditure,2010,All nationalities of ownership,
Actual Total Capital Expenditure,2010,Irish ownership,
Actual Total Capital Expenditure,2010,Non Irish ownership,
Actual Total Capital Expenditure,2011,All nationalities of ownership,150314
Actual Total Capital Expenditure,2011,Irish ownership,40767
Actual Total Capital Expenditure,2011,Non Irish ownership,109547
Actual Total Capital Expenditure,2012,All nationalities of ownership,
Actual Total Capital Expenditure,2012,Irish ownership,
Actual Total Capital Expenditure,2012,Non Irish ownership,
Actual Total Capital Expenditure,2013,All nationalities of ownership,147200
Actual Total Capital Expenditure,2013,Irish ownership,58056
Actual Total Capital Expenditure,2013,Non Irish ownership,89144
Actual Total Capital Expenditure,2014,All nationalities of ownership,
Actual Total Capital Expenditure,2014,Irish ownership,
Actual Total Capital Expenditure,2014,Non Irish ownership,
Actual Total Capital Expenditure,2015,All nationalities of ownership,157102
Actual Total Capital Expenditure,2015,Irish ownership,58912
Actual Total Capital Expenditure,2015,Non Irish ownership,98190
Actual Total Capital Expenditure,2016,All nationalities of ownership,
Actual Total Capital Expenditure,2016,Irish ownership,
Actual Total Capital Expenditure,2016,Non Irish ownership,
Actual Total Capital Expenditure,2017,All nationalities of ownership,278041
Actual Total Capital Expenditure,2017,Irish ownership,95090
Actual Total Capital Expenditure,2017,Non Irish ownership,182951
Actual Total Capital Expenditure,2018,All nationalities of ownership,
Actual Total Capital Expenditure,2018,Irish ownership,
Actual Total Capital Expenditure,2018,Non Irish ownership,
Actual Total Capital Expenditure,2019,All nationalities of ownership,555707
Actual Total Capital Expenditure,2019,Irish ownership,238007
Actual Total Capital Expenditure,2019,Non Irish ownership,317699
Actual Total Capital Expenditure,2020,All nationalities of ownership,
Actual Total Capital Expenditure,2020,Irish ownership,
Actual Total Capital Expenditure,2020,Non Irish ownership,
Actual Total Capital Expenditure,2021,All nationalities of ownership,440053
Actual Total Capital Expenditure,2021,Irish ownership,211835
Actual Total Capital Expenditure,2021,Non Irish ownership,228217
Actual Total Capital Expenditure,2022,All nationalities of ownership,
Actual Total Capital Expenditure,2022,Irish ownership,
Actual Total Capital Expenditure,2022,Non Irish ownership,
Actual Total Capital Expenditure,2023,All nationalities of ownership,2411792
Actual Total Capital Expenditure,2023,Irish ownership,
Actual Total Capital Expenditure,2023,Non Irish ownership,
Actual Total Capital Expenditure,2024,All nationalities of ownership,
Actual Total Capital Expenditure,2024,Irish ownership,
Actual Total Capital Expenditure,2024,Non Irish ownership,
Actual Total Research and Development Expenditure,2007,All nationalities of ownership,1603185
Actual Total Research and Development Expenditure,2007,Irish ownership,443010
Actual Total Research and Development Expenditure,2007,Non Irish ownership,1160174
Actual Total Research and Development Expenditure,2008,All nationalities of ownership,
Actual Total Research and Development Expenditure,2008,Irish ownership,
Actual Total Research and Development Expenditure,2008,Non Irish ownership,
Actual Total Research and Development Expenditure,2009,All nationalities of ownership,1868456
Actual Total Research and Development Expenditure,2009,Irish ownership,563217
Actual Total Research and Development Expenditure,2009,Non Irish ownership,1305239
Actual Total Research and Development Expenditure,2010,All nationalities of ownership,
Actual Total Research and Development Expenditure,2010,Irish ownership,
Actual Total Research and Development Expenditure,2010,Non Irish ownership,
Actual Total Research and Development Expenditure,2011,All nationalities of ownership,1757225
Actual Total Research and Development Expenditure,2011,Irish ownership,536868
Actual Total Research and Development Expenditure,2011,Non Irish ownership,1220357
Actual Total Research and Development Expenditure,2012,All nationalities of ownership,
Actual Total Research and Development Expenditure,2012,Irish ownership,
Actual Total Research and Development Expenditure,2012,Non Irish ownership,
Actual Total Research and Development Expenditure,2013,All nationalities of ownership,2021863
Actual Total Research and Development Expenditure,2013,Irish ownership,703121
Actual Total Research and Development Expenditure,2013,Non Irish ownership,1318742
Actual Total Research and Development Expenditure,2014,All nationalities of ownership,
Actual Total Research and Development Expenditure,2014,Irish ownership,
Actual Total Research and Development Expenditure,2014,Non Irish ownership,
Actual Total Research and Development Expenditure,2015,All nationalities of ownership,2233057
Actual Total Research and Development Expenditure,2015,Irish ownership,809662
Actual Total Research and Development Expenditure,2015,Non Irish ownership,1423395
Actual Total Research and Development Expenditure,2016,All nationalities of ownership,
Actual Total Research and Development Expenditure,2016,Irish ownership,
Actual Total Research and Development Expenditure,2016,Non Irish ownership,
Actual Total Research and Development Expenditure,2017,All nationalities of ownership,2770214
Actual Total Research and Development Expenditure,2017,Irish ownership,858849
Actual Total Research and Development Expenditure,2017,Non Irish ownership,1911365
Actual Total Research and Development Expenditure,2018,All nationalities of ownership,
Actual Total Research and Development Expenditure,2018,Irish ownership,
Actual Total Research and Development Expenditure,2018,Non Irish ownership,
Actual Total Research and Development Expenditure,2019,All nationalities of ownership,3256295
Actual Total Research and Development Expenditure,2019,Irish ownership,962985
Actual Total Research and Development Expenditure,2019,Non Irish ownership,2293309
Actual Total Research and Development Expenditure,2020,All nationalities of ownership,
Actual Total Research and Development Expenditure,2020,Irish ownership,
Actual Total Research and Development Expenditure,2020,Non Irish ownership,
Actual Total Research and Development Expenditure,2021,All nationalities of ownership,3879007
Actual Total Research and Development Expenditure,2021,Irish ownership,1177296
Actual Total Research and Development Expenditure,2021,Non Irish ownership,2701711
Actual Total Research and Development Expenditure,2022,All nationalities of ownership,
Actual Total Research and Development Expenditure,2022,Irish ownership,
Actual Total Research and Development Expenditure,2022,Non Irish ownership,
Actual Total Research and Development Expenditure,2023,All nationalities of ownership,7003745
Actual Total Research and Development Expenditure,2023,Irish ownership,1132247
Actual Total Research and Development Expenditure,2023,Non Irish ownership,5871498
Actual Total Research and Development Expenditure,2024,All nationalities of ownership,
Actual Total Research and Development Expenditure,2024,Irish ownership,
Actual Total Research and Development Expenditure,2024,Non Irish ownership,
