statistic_label,year,nationality_of_ownership,value
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,Non-Irish ownership,1446.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,All nationalities,6502.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,Irish ownership,3334.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,Non-Irish ownership,3168.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,All nationalities,9901.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,Irish ownership,4325.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,Non-Irish ownership,5575.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,All nationalities,12896.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,Irish ownership,5120.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,Non-Irish ownership,7775.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,All nationalities,25693.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,Irish ownership,17829.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,Non-Irish ownership,7864.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,All nationalities,121484.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,Irish ownership,3896.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,Non-Irish ownership,117588.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,All nationalities,21240.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,Irish ownership,6971.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,Non-Irish ownership,14269.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2023,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2024,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,All nationalities,205704.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,Irish ownership,24974.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2007,Non-Irish ownership,180730.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2008,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,All nationalities,221726.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,Irish ownership,31491.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2009,Non-Irish ownership,190235.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2010,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,All nationalities,92693.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,Irish ownership,19651.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2011,Non-Irish ownership,73042.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2012,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,All nationalities,74941.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,Irish ownership,18571.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2013,Non-Irish ownership,56370.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2014,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,All nationalities,83454.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,Irish ownership,23291.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2015,Non-Irish ownership,60163.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2016,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,All nationalities,120411.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,Irish ownership,23631.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2017,Non-Irish ownership,96779.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2018,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,All nationalities,175239.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,Irish ownership,24690.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2019,Non-Irish ownership,150550.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2020,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,All nationalities,176930.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,Irish ownership,59442.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2021,Non-Irish ownership,117488.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2022,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2023,Non-Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,All nationalities,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,Irish ownership,187171.0
Actual Capital Expenditure - Instruments and Equipment (excluding software),2024,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,All nationalities,27640.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Irish ownership,22192.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Non-Irish ownership,5448.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,All nationalities,12321.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Irish ownership,3640.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Non-Irish ownership,8681.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,All nationalities,15794.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Irish ownership,10145.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Non-Irish ownership,5650.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,All nationalities,12738.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Irish ownership,7691.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Non-Irish ownership,5048.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,All nationalities,19335.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Irish ownership,11907.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Non-Irish ownership,7428.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,All nationalities,17188.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Irish ownership,11971.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Non-Irish ownership,5216.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,All nationalities,16675.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Irish ownership,7586.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Non-Irish ownership,9089.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,All nationalities,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Irish ownership,187171.0
Actual Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2007,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2008,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,All nationalities,2666.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,Irish ownership,2412.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2009,Non-Irish ownership,254.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2010,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,All nationalities,6610.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,Irish ownership,2401.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2011,Non-Irish ownership,4208.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2012,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,All nationalities,16899.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,Irish ownership,13781.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2013,Non-Irish ownership,3118.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2014,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,All nationalities,19106.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,Irish ownership,14716.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2015,Non-Irish ownership,4389.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2016,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,All nationalities,30123.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,Irish ownership,26365.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2017,Non-Irish ownership,3759.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2018,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,All nationalities,205199.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,Irish ownership,192071.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2019,Non-Irish ownership,13128.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2020,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,All nationalities,155197.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,Irish ownership,105252.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2021,Non-Irish ownership,49945.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2022,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2023,Non-Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,All nationalities,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,Irish ownership,187171.0
Actual Capital Expenditure - Software development by company in-house and used in-house,2024,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2007,All nationalities,279271.0
Actual Total Capital Expenditure,2007,Irish ownership,32384.0
Actual Total Capital Expenditure,2007,Non-Irish ownership,246887.0
Actual Total Capital Expenditure,2008,All nationalities,187171.0
Actual Total Capital Expenditure,2008,Irish ownership,187171.0
Actual Total Capital Expenditure,2008,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2009,All nationalities,325613.0
Actual Total Capital Expenditure,2009,Irish ownership,91040.0
Actual Total Capital Expenditure,2009,Non-Irish ownership,234573.0
Actual Total Capital Expenditure,2010,All nationalities,187171.0
Actual Total Capital Expenditure,2010,Irish ownership,187171.0
Actual Total Capital Expenditure,2010,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2011,All nationalities,150314.0
Actual Total Capital Expenditure,2011,Irish ownership,40767.0
Actual Total Capital Expenditure,2011,Non-Irish ownership,109547.0
Actual Total Capital Expenditure,2012,All nationalities,187171.0
Actual Total Capital Expenditure,2012,Irish ownership,187171.0
Actual Total Capital Expenditure,2012,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2013,All nationalities,147200.0
Actual Total Capital Expenditure,2013,Irish ownership,58056.0
Actual Total Capital Expenditure,2013,Non-Irish ownership,89144.0
Actual Total Capital Expenditure,2014,All nationalities,187171.0
Actual Total Capital Expenditure,2014,Irish ownership,187171.0
Actual Total Capital Expenditure,2014,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2015,All nationalities,157102.0
Actual Total Capital Expenditure,2015,Irish ownership,58912.0
Actual Total Capital Expenditure,2015,Non-Irish ownership,98190.0
Actual Total Capital Expenditure,2016,All nationalities,187171.0
Actual Total Capital Expenditure,2016,Irish ownership,187171.0
Actual Total Capital Expenditure,2016,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2017,All nationalities,278041.0
Actual Total Capital Expenditure,2017,Irish ownership,95090.0
Actual Total Capital Expenditure,2017,Non-Irish ownership,182951.0
Actual Total Capital Expenditure,2018,All nationalities,187171.0
Actual Total Capital Expenditure,2018,Irish ownership,187171.0
Actual Total Capital Expenditure,2018,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2019,All nationalities,555707.0
Actual Total Capital Expenditure,2019,Irish ownership,238007.0
Actual Total Capital Expenditure,2019,Non-Irish ownership,317699.0
Actual Total Capital Expenditure,2020,All nationalities,187171.0
Actual Total Capital Expenditure,2020,Irish ownership,187171.0
Actual Total Capital Expenditure,2020,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2021,All nationalities,440053.0
Actual Total Capital Expenditure,2021,Irish ownership,211835.0
Actual Total Capital Expenditure,2021,Non-Irish ownership,228217.0
Actual Total Capital Expenditure,2022,All nationalities,187171.0
Actual Total Capital Expenditure,2022,Irish ownership,187171.0
Actual Total Capital Expenditure,2022,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2023,All nationalities,2411792.0
Actual Total Capital Expenditure,2023,Irish ownership,187171.0
Actual Total Capital Expenditure,2023,Non-Irish ownership,187171.0
Actual Total Capital Expenditure,2024,All nationalities,187171.0
Actual Total Capital Expenditure,2024,Irish ownership,187171.0
Actual Total Capital Expenditure,2024,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2007,All nationalities,1603185.0
Actual Total Research and Development Expenditure,2007,Irish ownership,443010.0
Actual Total Research and Development Expenditure,2007,Non-Irish ownership,1160174.0
Actual Total Research and Development Expenditure,2008,All nationalities,187171.0
Actual Total Research and Development Expenditure,2008,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2008,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2009,All nationalities,1868456.0
Actual Total Research and Development Expenditure,2009,Irish ownership,563217.0
Actual Total Research and Development Expenditure,2009,Non-Irish ownership,1305239.0
Actual Total Research and Development Expenditure,2010,All nationalities,187171.0
Actual Total Research and Development Expenditure,2010,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2010,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2011,All nationalities,1757225.0
Actual Total Research and Development Expenditure,2011,Irish ownership,536868.0
Actual Total Research and Development Expenditure,2011,Non-Irish ownership,1220357.0
Actual Total Research and Development Expenditure,2012,All nationalities,187171.0
Actual Total Research and Development Expenditure,2012,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2012,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2013,All nationalities,2021863.0
Actual Total Research and Development Expenditure,2013,Irish ownership,703121.0
Actual Total Research and Development Expenditure,2013,Non-Irish ownership,1318742.0
Actual Total Research and Development Expenditure,2014,All nationalities,187171.0
Actual Total Research and Development Expenditure,2014,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2014,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2015,All nationalities,2233057.0
Actual Total Research and Development Expenditure,2015,Irish ownership,809662.0
Actual Total Research and Development Expenditure,2015,Non-Irish ownership,1423395.0
Actual Total Research and Development Expenditure,2016,All nationalities,187171.0
Actual Total Research and Development Expenditure,2016,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2016,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2017,All nationalities,2770214.0
Actual Total Research and Development Expenditure,2017,Irish ownership,858849.0
Actual Total Research and Development Expenditure,2017,Non-Irish ownership,1911365.0
Actual Total Research and Development Expenditure,2018,All nationalities,187171.0
Actual Total Research and Development Expenditure,2018,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2018,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2019,All nationalities,3256295.0
Actual Total Research and Development Expenditure,2019,Irish ownership,962985.0
Actual Total Research and Development Expenditure,2019,Non-Irish ownership,2293309.0
Actual Total Research and Development Expenditure,2020,All nationalities,187171.0
Actual Total Research and Development Expenditure,2020,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2020,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2021,All nationalities,3879007.0
Actual Total Research and Development Expenditure,2021,Irish ownership,1177296.0
Actual Total Research and Development Expenditure,2021,Non-Irish ownership,2701711.0
Actual Total Research and Development Expenditure,2022,All nationalities,187171.0
Actual Total Research and Development Expenditure,2022,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2022,Non-Irish ownership,187171.0
Actual Total Research and Development Expenditure,2023,All nationalities,7003745.0
Actual Total Research and Development Expenditure,2023,Irish ownership,1132247.0
Actual Total Research and Development Expenditure,2023,Non-Irish ownership,5871498.0
Actual Total Research and Development Expenditure,2024,All nationalities,187171.0
Actual Total Research and Development Expenditure,2024,Irish ownership,187171.0
Actual Total Research and Development Expenditure,2024,Non-Irish ownership,187171.0
